Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,"Status
 Iteration 1","Actual Result Iteration 2
(to be updated only if test case failed in Iteration 1) ","Status
 Iteration 2
(to be updated only if test case failed in Iteration 1)",Comments,Req: Reference
<Sequence number>,<Identify test scenarios>,<This cell specifies the state a system and its environment must be in before this specific test case can be run>,<This cell describes what to test for i.e. the condition which is being tested for>,<This cell describes how to test i.e. the detailed testing procedure>,<Mention test data to be used>,<Describe the expected test result>,"<Describe the actual test result after execution of test cases. In case screenshots need to be attached to substantiate the test result, use the references tab.>",Status of the test case whether it got passed/ failed/Hold  in interation 1.,"<Describe the actual test result after execution of test cases second time. In case screenshots need to be attached to substantiate the test result, use the references tab.>",New status of test case after it failed in Iteration 1.,,
TC_SearchProperty_01,TS_SearchProperty_01,Browser should be displayed and accessible.,To validate that user is able to view home page.,1.Open Browser                       2.Enter the URL for the website ,2.https://www.nobroker.in/,User should be navigated to home page.,User is navigating to home page.,PASSED,,,,
TC_SearchProperty_02,TS_SearchProperty_01,User should be able to select for locations.,To validate that user is able to select for locations from the dropdown option.,"1. Click on dropdown option
2. Select location from dropdown option


",2.Mumbai,1.It should display dropdown list.                                        2.It should display property for the selected location.,1.It is displaying dropdown list.                                        2.It is displaying property for the selected location.,PASSED,,,,
TC_SearchProperty_03,TS_SearchProperty_01,User should be able to search for localities or landmarks.,To verify that user can successfully search for localities or landmarks using search option.,"1.Click on Search Bar               2. Type Localities initial and then select localities 


",2.Kandivali,1.It should be Clickable.      2.It should display property for the selected localities.,"1.It is Clickable.            
 2.It is displaying property for the selected localities.",PASSED,,,,
TC_SearchProperty_04,TS_SearchProperty_01,User should be able to search for localities or landmarks.,To validate that if no localities is added.,"1.Click on Search Bar               2. Type Localities initial and then select location  


",2.Kandivali,"1.It should be Clickable.      2.It should give an error message ""PLEASE SELECT A LOCALITY WITHIN MUMBAI""","1.It should be Clickable.      2.It is giving an error message ""PLEASE SELECT A LOCALITY WITHIN MUMBAI""",PASSED,,,,
TC_SearchProperty_05,TS_SearchProperty_01,User should be able to select property type.,To verify that property type allows users to select different fields.,1. Select Location                      2. Select Localities          3.Select Property type from the given option.                      4.Click on Search button.             ,"1.Mumbai                          
2.Kandivali
3.Full House",1. User should select Location                      2. User should select Localities.                          3.User should select Property type from the given option.                      4.It should display properties for the selected property type.           ,1. It is selecting Location                      2. It is selecting Localities.                          3.It is selecting Property type from the given option.                           4.It is displaying properties for the selected property type.           ,PASSED,,,,
TC_SearchProperty_06,TS_SearchProperty_01,User should be able to select BHK type.,1.To verify that user is able to select the checkbox for BHK type from the dropdown list.,"1. Select Location                      2. Select Localities                    3. Click on the dropdown list.
4. Select BHK type from the dropdown list.                           5.Click on Search button. ","1.Mumbai                          
2.Kandivali
3.1 BHK",1. User should select Location                      2. User should select Localities.                                 3.1.It should display dropdown list.                          4.User should select BHK type from the given option.                      5.It should display properties for the selected BHK type.       ,1. It is selecting Location                      2. It is selecting Localities.                          3..It is displaying dropdown list.                          4.User is selecting BHK type from the given option.                           5.It is displaying properties for the selected BHK type.          ,PASSED,,,,
TC_SearchProperty_07,TS_SearchProperty_01,User should be able to select Property Status .,To verify that user is able to select Property Status from the dropdown list.,"1. Select Location                      2. Select Localities                    3. Click on the dropdown list.
4. Select Property Status from the dropdown list.                    5.Click on Search button. ","1.Mumbai                          
2.Kandivali
3.Ready",1. User should select Location                      2. User should select Localities.                                 3.1.It should display dropdown list.                          4.User should select Property Status from the given option.                      5.It should display properties for the selected Property Status.       ,"1. It is selecting Location                      2. It is selecting Localities.                          3..It is displaying dropdown list.                          
4.User is selecting Property Status from the given option.                           5.It is displaying properties for the selected Property Status.          ",PASSED,,,,
TC_SearchProperty_08,TS_SearchProperty_01,User should be able to find new builder projects.,To verify that user is able to select the checkbox for new builder projects.,1. Select Location                      2. Select Localities           3.Select the checkbox of new builder projects.                        4.Click on Search button. ,"1.Mumbai                          
2.Kandivali",1. User should select Location                      2. User should select Localities.                                 3.Checkbox should be clickable.                                 4.It should display new builder projects.,1. It is selecting Location                      2. It is selecting Localities.                          3.Checkbox is clickable.                                 4.It is displaying new builder projects.           ,PASSED,,,,
TC_NewProjects_01,TS_NewProjects_01,User should be able to to set property price by price range .,To verify that user is able to set property price by price range .,1.Select Advanced filers         2.Set Price Range.,2.40lac-80lac,1.User should open advanced filers                                   2.User should view property within provided Price Range.,1.It is opening advanced filers                                       2.It is showing property within provided Price Range.,PASSED,,,,
